Total players,153492,,,,,,,,,,
Global time,816626503.5386,,SWARMED,IMPALED,GORED,OPENED,,,,,
Global kills,1266021662,,PURGED,DESECRATED,SACRIFICED,BARBED,,,,,
Global gems,228516594,,INTOXICATED,ENVENMONATED,INFESTED,,,,,,
Global deaths,12005779,,INCARNATED,ANNIHILATED,FALLEN,,,,,,
Global accuracy,,,,,,,,,,,
,,,,,,,,,,,
Rank,Username,Time,Kills,Gems,Accuracy,Death type,Total time,Total kills,Total gems,Total accuracy,Total deaths
1,Sojk,1073.9977,3884,1590,,GORED,1658145.3064,5467497,1759843,,4668
2,bowsr,1069.0308,3522,1600,,GORED,1035754.2463,3295341,1027574,,3526
3,A.N.T.4,1040.6675,3590,1398,,INTOXICATED,1142808.4732,3457236,1055197,,3390
4,Bintr,1038.3094,2929,1354,,ANNIHILATED,1220815.1911,2220939,708318,,81181
5,KrosisOne,1032.7906,3454,1423,,FALLEN,3083386.8109,8286230,2657846,,11069
6,pocket,1031.8040,3557,1416,,IMPALED,563777.9059,1899606,553114,,1900
7,Kaijt,1017.9955,2961,1332,,INTOXICATED,737317.0276,2042989,640813,,2661
8,cookle,1017.9289,3132,1429,,GORED,1060009.0868,2579347,824086,,6246
9,xvlv,1002.9492,3299,1278,,FALLEN,1423097.2159,3503747,1230929,,4393
10,Chupacabra,989.2359,3068,1302,,GORED,741976.8418,2082476,614055,,2941
11,glμm,980.7380,3053,1279,,PURGED,2487822.4632,6153570,2058399,,10611
12,aircawn,979.3883,3034,1212,,ANNIHILATED,1357314.3572,3623906,1183340,,4446
13,krak~,968.2410,2623,1211,,PURGED,1370766.5200,3389384,945050,,7250
14,mrs doubtfire,957.9435,2680,1191,,IMPALED,96791.2529,243178,82496,,388
15,Blue53,944.6301,2748,1113,,SWARMED,1317318.4394,3472061,875082,,7493
16,satan,931.7833,2600,1134,,SWARMED,374414.5269,300431,89057,,59709
17,jay,913.8876,2507,989,,PURGED,483515.1234,1176212,326254,,2870
18,Moz,912.9379,2432,1099,,IMPALED,1023983.2836,2537360,854116,,3610
19,Emberstone,912.2214,2298,1125,,GORED,747365.4478,1721136,515127,,3916
20,Hahmo,911.9881,2457,1085,,OPENED,783627.8121,1930601,551542,,3942
21,Cobajj,911.8548,2544,1095,,GORED,1275430.8429,2995793,855473,,7259
22,Absolutely Not a Terrorist,905.8396,2428,986,,GORED,805816.6950,1900303,548736,,4570
23,ohsnaplol,905.4897,2419,999,,ANNIHILATED,615452.0172,1570662,440225,,2925
24,Dkazyo,892.5428,2287,1002,,GORED,572430.4742,1387055,421468,,2779
25,CCT,891.1265,2524,832,,OPENED,672096.9327,1728737,455020,,2939
26,zealotsthename,872.3311,2149,1063,,BARBED,864513.7085,2080849,557461,,5062
27,g_kub,866.0826,2148,959,,IMPALED,1529602.3980,3872386,1017168,,9007
28,buggie,852.4360,2192,939,,PURGED,179632.4584,433063,153899,,646
29,Littlebert,852.3027,2211,964,,SWARMED,2763394.7032,6844638,1819620,,14694
30,Myrmeleon,851.0363,1995,863,,SWARMED,756692.1957,1830349,539819,,4078
31,aiunzovovor,848.3703,2191,868,,OPENED,747189.1190,2072937,614054,,2826
32,ThePassiveDada,845.1711,1946,868,,PURGED,528418.8109,1109979,339822,,2909
33,DanielJMus,844.5712,2256,813,,GORED,804812.4672,2005592,528862,,4629
34,curry,839.7391,1938,900,,GORED,381268.1976,812818,250266,,2153
35,ancient_geometrist,838.9559,1941,915,,IMPALED,732037.6550,1622837,477947,,3859
36,playthis,837.7729,1958,880,,PURGED,590118.2663,1405347,381758,,3639
